#Dirchilet BC  (from /home/zlz/zq/water_gas_line_opt/true_obs/water_gas_MULTI_PHASE_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  75
#Node index, name, x, y, z,   value: 
426  PRESSURE2 5.000000000000e-01 4.000000000000e-01 0.000000000000e+00 1.000000000000e+00
427  PRESSURE2 5.000000000000e-01 4.250000000000e-01 0.000000000000e+00 1.000000000000e+00
428  PRESSURE2 5.000000000000e-01 4.500000000000e-01 0.000000000000e+00 1.000000000000e+00
429  PRESSURE2 5.000000000000e-01 4.750000000000e-01 0.000000000000e+00 1.000000000000e+00
430  PRESSURE2 5.000000000000e-01 5.000000000000e-01 0.000000000000e+00 1.000000000000e+00
431  PRESSURE2 5.000000000000e-01 5.250000000000e-01 0.000000000000e+00 1.000000000000e+00
432  PRESSURE2 5.000000000000e-01 5.500000000000e-01 0.000000000000e+00 1.000000000000e+00
433  PRESSURE2 5.000000000000e-01 5.750000000000e-01 0.000000000000e+00 1.000000000000e+00
434  PRESSURE2 5.000000000000e-01 6.000000000000e-01 0.000000000000e+00 1.000000000000e+00
435  PRESSURE2 5.000000000000e-01 6.250000000000e-01 0.000000000000e+00 1.000000000000e+00
436  PRESSURE2 5.000000000000e-01 6.500000000000e-01 0.000000000000e+00 1.000000000000e+00
437  PRESSURE2 5.000000000000e-01 6.750000000000e-01 0.000000000000e+00 1.000000000000e+00
438  PRESSURE2 5.000000000000e-01 7.000000000000e-01 0.000000000000e+00 1.000000000000e+00
439  PRESSURE2 5.000000000000e-01 7.250000000000e-01 0.000000000000e+00 1.000000000000e+00
440  PRESSURE2 5.000000000000e-01 7.500000000000e-01 0.000000000000e+00 1.000000000000e+00
441  PRESSURE2 5.000000000000e-01 7.750000000000e-01 0.000000000000e+00 1.000000000000e+00
442  PRESSURE2 5.000000000000e-01 8.000000000000e-01 0.000000000000e+00 1.000000000000e+00
443  PRESSURE2 5.000000000000e-01 8.250000000000e-01 0.000000000000e+00 1.000000000000e+00
444  PRESSURE2 5.000000000000e-01 8.500000000000e-01 0.000000000000e+00 1.000000000000e+00
445  PRESSURE2 5.000000000000e-01 8.750000000000e-01 0.000000000000e+00 1.000000000000e+00
446  PRESSURE2 5.000000000000e-01 9.000000000000e-01 0.000000000000e+00 1.000000000000e+00
447  PRESSURE2 5.000000000000e-01 9.250000000000e-01 0.000000000000e+00 1.000000000000e+00
448  PRESSURE2 5.000000000000e-01 9.500000000000e-01 0.000000000000e+00 1.000000000000e+00
449  PRESSURE2 5.000000000000e-01 9.750000000000e-01 0.000000000000e+00 1.000000000000e+00
450  PRESSURE2 5.000000000000e-01 1.000000000000e+00 0.000000000000e+00 1.000000000000e+00
836  PRESSURE2 1.000000000000e+00 4.000000000000e-01 0.000000000000e+00 1.000000000000e+00
837  PRESSURE2 1.000000000000e+00 4.250000000000e-01 0.000000000000e+00 1.000000000000e+00
838  PRESSURE2 1.000000000000e+00 4.500000000000e-01 0.000000000000e+00 1.000000000000e+00
839  PRESSURE2 1.000000000000e+00 4.750000000000e-01 0.000000000000e+00 1.000000000000e+00
840  PRESSURE2 1.000000000000e+00 5.000000000000e-01 0.000000000000e+00 1.000000000000e+00
841  PRESSURE2 1.000000000000e+00 5.250000000000e-01 0.000000000000e+00 1.000000000000e+00
842  PRESSURE2 1.000000000000e+00 5.500000000000e-01 0.000000000000e+00 1.000000000000e+00
843  PRESSURE2 1.000000000000e+00 5.750000000000e-01 0.000000000000e+00 1.000000000000e+00
844  PRESSURE2 1.000000000000e+00 6.000000000000e-01 0.000000000000e+00 1.000000000000e+00
845  PRESSURE2 1.000000000000e+00 6.250000000000e-01 0.000000000000e+00 1.000000000000e+00
846  PRESSURE2 1.000000000000e+00 6.500000000000e-01 0.000000000000e+00 1.000000000000e+00
847  PRESSURE2 1.000000000000e+00 6.750000000000e-01 0.000000000000e+00 1.000000000000e+00
848  PRESSURE2 1.000000000000e+00 7.000000000000e-01 0.000000000000e+00 1.000000000000e+00
849  PRESSURE2 1.000000000000e+00 7.250000000000e-01 0.000000000000e+00 1.000000000000e+00
850  PRESSURE2 1.000000000000e+00 7.500000000000e-01 0.000000000000e+00 1.000000000000e+00
851  PRESSURE2 1.000000000000e+00 7.750000000000e-01 0.000000000000e+00 1.000000000000e+00
852  PRESSURE2 1.000000000000e+00 8.000000000000e-01 0.000000000000e+00 1.000000000000e+00
853  PRESSURE2 1.000000000000e+00 8.250000000000e-01 0.000000000000e+00 1.000000000000e+00
854  PRESSURE2 1.000000000000e+00 8.500000000000e-01 0.000000000000e+00 1.000000000000e+00
855  PRESSURE2 1.000000000000e+00 8.750000000000e-01 0.000000000000e+00 1.000000000000e+00
856  PRESSURE2 1.000000000000e+00 9.000000000000e-01 0.000000000000e+00 1.000000000000e+00
857  PRESSURE2 1.000000000000e+00 9.250000000000e-01 0.000000000000e+00 1.000000000000e+00
858  PRESSURE2 1.000000000000e+00 9.500000000000e-01 0.000000000000e+00 1.000000000000e+00
859  PRESSURE2 1.000000000000e+00 9.750000000000e-01 0.000000000000e+00 1.000000000000e+00
860  PRESSURE2 1.000000000000e+00 1.000000000000e+00 0.000000000000e+00 1.000000000000e+00
1246  PRESSURE2 1.500000000000e+00 4.000000000000e-01 0.000000000000e+00 1.000000000000e+00
1247  PRESSURE2 1.500000000000e+00 4.250000000000e-01 0.000000000000e+00 1.000000000000e+00
1248  PRESSURE2 1.500000000000e+00 4.500000000000e-01 0.000000000000e+00 1.000000000000e+00
1249  PRESSURE2 1.500000000000e+00 4.750000000000e-01 0.000000000000e+00 1.000000000000e+00
1250  PRESSURE2 1.500000000000e+00 5.000000000000e-01 0.000000000000e+00 1.000000000000e+00
1251  PRESSURE2 1.500000000000e+00 5.250000000000e-01 0.000000000000e+00 1.000000000000e+00
1252  PRESSURE2 1.500000000000e+00 5.500000000000e-01 0.000000000000e+00 1.000000000000e+00
1253  PRESSURE2 1.500000000000e+00 5.750000000000e-01 0.000000000000e+00 1.000000000000e+00
1254  PRESSURE2 1.500000000000e+00 6.000000000000e-01 0.000000000000e+00 1.000000000000e+00
1255  PRESSURE2 1.500000000000e+00 6.250000000000e-01 0.000000000000e+00 1.000000000000e+00
1256  PRESSURE2 1.500000000000e+00 6.500000000000e-01 0.000000000000e+00 1.000000000000e+00
1257  PRESSURE2 1.500000000000e+00 6.750000000000e-01 0.000000000000e+00 1.000000000000e+00
1258  PRESSURE2 1.500000000000e+00 7.000000000000e-01 0.000000000000e+00 1.000000000000e+00
1259  PRESSURE2 1.500000000000e+00 7.250000000000e-01 0.000000000000e+00 1.000000000000e+00
1260  PRESSURE2 1.500000000000e+00 7.500000000000e-01 0.000000000000e+00 1.000000000000e+00
1261  PRESSURE2 1.500000000000e+00 7.750000000000e-01 0.000000000000e+00 1.000000000000e+00
1262  PRESSURE2 1.500000000000e+00 8.000000000000e-01 0.000000000000e+00 1.000000000000e+00
1263  PRESSURE2 1.500000000000e+00 8.250000000000e-01 0.000000000000e+00 1.000000000000e+00
1264  PRESSURE2 1.500000000000e+00 8.500000000000e-01 0.000000000000e+00 1.000000000000e+00
1265  PRESSURE2 1.500000000000e+00 8.750000000000e-01 0.000000000000e+00 1.000000000000e+00
1266  PRESSURE2 1.500000000000e+00 9.000000000000e-01 0.000000000000e+00 1.000000000000e+00
1267  PRESSURE2 1.500000000000e+00 9.250000000000e-01 0.000000000000e+00 1.000000000000e+00
1268  PRESSURE2 1.500000000000e+00 9.500000000000e-01 0.000000000000e+00 1.000000000000e+00
1269  PRESSURE2 1.500000000000e+00 9.750000000000e-01 0.000000000000e+00 1.000000000000e+00
1270  PRESSURE2 1.500000000000e+00 1.000000000000e+00 0.000000000000e+00 1.000000000000e+00
#STOP
